,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
149,150,Bolivar,Colombia,1621603255000.0,8.6704,-74.03,94680,90084,1815,2781,,,"Bolivar, Colombia"
150,151,Boyaca,Colombia,1621603255000.0,5.4545,-73.362,61253,57265,1423,2565,,,"Boyaca, Colombia"
151,152,Caldas,Colombia,1621603255000.0,5.2983,-75.2479,67342,63888,1391,2063,,,"Caldas, Colombia"
152,153,Capital District,Colombia,1621603255000.0,4.711,-74.0721,884089,817438,17648,49003,,,"Capital District, Colombia"
153,154,Caqueta,Colombia,1621603255000.0,0.8699,-73.8419,17870,16959,668,243,,,"Caqueta, Colombia"
154,155,Casanare,Colombia,1621603255000.0,5.7589,-71.5724,18261,16882,422,957,,,"Casanare, Colombia"
155,156,Cauca,Colombia,1621603255000.0,2.705,-76.826,32479,30783,866,830,,,"Cauca, Colombia"
156,157,Cesar,Colombia,1621603255000.0,9.3373,-73.6536,63090,59602,1697,1791,,,"Cesar, Colombia"
157,158,Choco,Colombia,1621603255000.0,5.2528,-76.826,9973,9296,263,414,,,"Choco, Colombia"
158,159,Cordoba,Colombia,1621603255000.0,8.0493,-75.574,59637,55268,2397,1972,,,"Cordoba, Colombia"
159,160,Cundinamarca,Colombia,1621603255000.0,5.026,-74.03,147650,137539,4022,6089,,,"Cundinamarca, Colombia"
160,161,Guainia,Colombia,1621603255000.0,2.5854,-68.5247,1586,1513,22,51,,,"Guainia, Colombia"
161,162,Guaviare,Colombia,1621603255000.0,1.0654,-73.2603,2674,2502,40,132,,,"Guaviare, Colombia"
162,163,Huila,Colombia,1621603255000.0,2.5359,-75.5277,56387,53252,1963,1172,,,"Huila, Colombia"
163,164,La Guajira,Colombia,1621603255000.0,11.3548,-72.5205,34287,32409,1092,786,,,"La Guajira, Colombia"
164,165,Magdalena,Colombia,1621603255000.0,10.4113,-74.4057,66718,62303,2540,1875,,,"Magdalena, Colombia"
165,166,Meta,Colombia,1621603255000.0,3.272,-73.0877,49694,47761,1172,761,,,"Meta, Colombia"
166,167,Narino,Colombia,1621603255000.0,1.2892,-77.3579,59219,55157,1923,2139,,,"Narino, Colombia"
167,168,Norte de Santander,Colombia,1621603255000.0,7.9463,-72.8988,58481,53942,2963,1576,,,"Norte de Santander, Colombia"
168,169,Putumayo,Colombia,1621603255000.0,0.436,-75.5277,11243,10429,444,370,,,"Putumayo, Colombia"
169,170,Quindio,Colombia,1621603255000.0,4.461,-75.6674,42302,40296,1266,740,,,"Quindio, Colombia"
170,171,Risaralda,Colombia,1621603255000.0,5.3158,-75.9928,60475,57767,1530,1178,,,"Risaralda, Colombia"
171,172,San Andres y Providencia,Colombia,1621603255000.0,12.5567,-81.7185,4795,4436,74,285,,,"San Andres y Providencia, Colombia"
172,173,Santander,Colombia,1621603255000.0,6.6437,-73.6536,121144,111423,4155,5566,,,"Santander, Colombia"
173,174,Sucre,Colombia,1621603255000.0,8.814,-74.7233,32461,30155,1099,1207,,,"Sucre, Colombia"
174,175,Tolima,Colombia,1621603255000.0,4.0925,-75.1545,72974,69413,2359,1202,,,"Tolima, Colombia"
175,176,Unknown,Colombia,1621603255000.0,,,0,0,0,0,,,"Unknown, Colombia"
176,177,Valle del Cauca,Colombia,1621603255000.0,3.8009,-76.6413,254950,241866,8083,5001,,,"Valle del Cauca, Colombia"
177,178,Vaupes,Colombia,1621603255000.0,0.8554,-70.812,1420,1373,14,33,,,"Vaupes, Colombia"
178,179,Vichada,Colombia,1621603255000.0,4.4234,-69.2878,1649,1607,25,17,,,"Vichada, Colombia"
179,180,,Comoros,1621603255000.0,-11.6455,43.3333,3868,3710,146,12,,,Comoros
180,181,,Congo (Brazzaville),1621603255000.0,-0.228,15.8277,11476,8208,150,3118,,,Congo (Brazzaville)
181,182,,Congo (Kinshasa),1621603255000.0,-4.0383,21.7587,30757,27603,779,2375,,,Congo (Kinshasa)
182,183,,Costa Rica,1621603255000.0,9.7489,-83.7534,296632,226667,3736,66229,,,Costa Rica
183,184,,Cote d'Ivoire,1621603255000.0,7.54,-5.5471,46834,46253,298,283,,,Cote d'Ivoire
184,185,,Croatia,1621603255000.0,45.1,15.2,353217,340728,7856,4633,,,Croatia
185,186,,Cuba,1621603255000.0,21.521757,-77.781167,129346,121594,840,6912,,,Cuba
186,187,,Cyprus,1621603255000.0,35.1264,33.4299,71610,39061,350,32199,,,Cyprus
187,188,,Czechia,1621603255000.0,49.8175,15.473,1656874,1603764,29990,23120,,,Czechia
